Key,Name,Calories,Fat,Protein,Carbs,Fiber
171063,Chicken Broilers Or Fryers Dark Meat Meat And Skin Cooked Fried Batter,298,18.64,21.85,9.38,0
171064,Chicken Broilers Or Fryers Dark Meat Meat And Skin Cooked Fried Flour,285,16.91,27.22,4.08,0
171065,Chicken Broilers Or Fryers Dark Meat Meat And Skin Cooked Roasted,253,15.78,25.97,0,0
171066,Chicken Broilers Or Fryers Dark Meat Meat And Skin Cooked Stewed,233,14.66,23.5,0,0
171067,Chicken Broilers Or Fryers Dark Meat Meat Only Raw,125,4.31,20.08,0,0
171068,Chicken Broilers Or Fryers Dark Meat Meat Only Cooked Fried,239,11.62,28.99,2.59,0
171069,Chicken Broilers Or Fryers Dark Meat Meat Only Cooked Roasted,205,9.73,27.37,0,0
171070,Chicken Broilers Or Fryers Dark Meat Meat Only Cooked Stewed,192,8.98,25.97,0,0
171071,Chicken Broilers Or Fryers Back Meat And Skin Cooked Roasted,300,20.97,25.95,0,0
171072,Chicken Broilers Or Fryers Back Meat And Skin Cooked Stewed,258,18.14,22.18,0,0
171073,Chicken Broilers Or Fryers Back Meat Only Raw,137,5.92,19.56,0,0
171074,Chicken Broilers Or Fryers Back Meat Only Cooked Fried,288,15.32,29.99,5.68,0
171075,Chicken Broilers Or Fryers Breast Meat And Skin Cooked Roasted,197,7.78,29.8,0,0
171076,Chicken Broilers Or Fryers Breast Meat And Skin Cooked Stewed,184,7.42,27.39,0,0
171077,Raw Chicken Breast,120,2.62,22.5,0,0
171078,Chicken Broilers Or Fryers Breast Meat Only Cooked Fried,187,4.71,33.44,0.51,0
171079,Squab (Pigeon) Meat Only Raw,142,7.5,17.5,0,0
171080,Squab (Pigeon) Light Meat Without Skin Raw,134,4.52,21.76,0,0
171081,Turkey Whole Meat And Skin Raw,144,5.64,21.64,0.14,0
171082,Turkey Skin From Whole (Light And Dark) Roasted,459,39.31,23.94,0.57,0
171083,Turkey Whole Giblets Raw,124,5.09,18.18,0.07,0
171084,Turkey Whole Giblets Cooked Simmered,173,6.61,26.44,0,0
171085,Turkey Gizzard All Classes Raw,111,3.37,18.8,0,0
171086,Turkey From Whole Neck Meat Only Raw,125,6.04,16.51,0,0
171087,Turkey From Whole Neck Meat Only Cooked Simmered,162,7.36,22.48,0,0
171088,Turkey From Whole Light Meat Meat And Skin Raw,161,7.43,21.96,0.15,0
171089,Turkey From Whole Light Meat Meat And Skin Cooked Roasted,177,5.57,29.55,0.05,0
171090,Turkey From Whole Dark Meat Meat Only Raw,108,2.5,21.28,0.15,0
171091,Roast Turkey Dark Meat,173,6.04,27.71,0,0
171092,Turkey All Classes Back Meat And Skin Cooked Roasted,244,14.38,26.59,0.16,0
171093,Turkey All Classes Breast Meat And Skin Raw,157,7.02,21.89,0,0
171094,Turkey All Classes Wing Meat And Skin Cooked Roasted,229,12.43,27.38,0,0
171095,Turkey Fryer-Roasters Meat And Skin Cooked Roasted,172,5.72,28.26,0,0
171096,Turkey Back From Whole Bird Meat Only Raw,113,2.5,21.28,0.15,0
171097,Turkey Back From Whole Bird Meat Only Roasted,173,6.04,27.71,0,0
171098,Turkey Breast From Whole Bird Meat Only Raw,114,1.48,23.66,0.14,0
171099,Chicken Canned Meat Only With Broth,165,7.95,21.77,0,0
171100,Pate De Foie Gras Canned (Goose Liver Pate) Smoked,462,43.84,11.4,4.67,0
171101,Turkey Canned Meat Only With Broth,169,6.86,23.68,1.47,0
171102,Turkey Diced Light And Dark Meat Seasoned,138,6,18.7,1,0
171103,Turkey Sticks Breaded Battered Fried,279,16.9,14.2,17,0
171104,Poultry Mechanically Deboned From Backs And Necks With Skin Raw,272,24.73,11.39,0,0
171105,Poultry Mechanically Deboned From Backs And Necks Without Skin Raw,199,15.48,13.79,0,0
171106,Poultry Mechanically Deboned From Mature Hens Raw,243,19.98,14.72,0,0
171107,Chicken Cornish Game Hens Meat And Skin Cooked Roasted,259,18.21,22.27,0,0
171108,Chicken Cornish Game Hens Meat Only Raw,116,3.33,20.04,0,0
171109,Chicken Cornish Game Hens Meat Only Cooked Roasted,134,3.87,23.3,0,0
171110,Chicken Canned No Broth,185,8.1,25.3,0.9,0
171111,Chicken Wing Frozen Glazed Barbecue Flavored,211,12.67,19.67,3.34,0.6
171112,Duck Young Duckling Domesticated White Pekin Leg Meat And Skin Bone In Cooked Roasted,217,11.4,26.75,0,0
171113,Duck Young Duckling Domesticated White Pekin Leg Meat Only Bone In Cooked Without Skin Braised,178,5.96,29.1,0,0
171114,Chicken Broiler Rotisserie BBQ Drumstick Meat Only,172,6.76,27.71,0,0
171115,Chicken Wing Frozen Glazed Barbecue Flavored Heated (Conventional Oven),242,14.87,22.24,3.36,0.5
171116,Chicken Ground Raw,143,8.1,17.44,0.04,0
171117,Chicken Ground Crumbles Cooked Pan-Browned,189,10.92,23.28,0,0
171118,Chicken Broiler Rotisserie BBQ Thigh Meat Only,193,10.74,24.09,0,0
171119,Chicken Feet Boiled,215,14.6,19.4,0.2,0
171120,Chicken Broilers Or Fryers Thigh Meat Only Cooked Rotisserie Original Seasoning,196,11.09,24.06,0,0
171121,Chicken Broilers Or Fryers Wing Meat Only Cooked Rotisserie Original Seasoning,197,9.53,27.69,0,0
171122,Chicken Broilers Or Fryers Back Meat And Skin Cooked Rotisserie Original Seasoning,260,18.59,23.23,0.03,0
171123,Chicken Broilers Or Fryers Breast Meat And Skin Cooked Rotisserie Original Seasoning,184,8.18,27.48,0.02,0
171124,Chicken Broiler Rotisserie BBQ Back Meat And Skin,251,18.86,20.29,0.4,0
171125,Chicken Broiler Rotisserie BBQ Breast Meat And Skin,175,7.67,26.37,0.09,0
171126,Chicken Broiler Rotisserie BBQ Drumstick Meat And Skin,206,11.46,25.65,0.12,0
171127,Chicken Broiler Rotisserie BBQ Thigh Meat And Skin,226,15.08,22.51,0.12,0
